event,peak_time,peak_val,minc,maxc,alert_streak,error_streak
ERROR,30480.0,2.1931106,1.8153101799999998,2.1447676800000006,3,2
ALERT,30990.0,1.9356502,1.8153101799999998,2.1447676800000006,3,0
ALERT,31020.0,1.9356502,1.8153101799999998,2.1447676800000006,4,0
ALERT,31650.0,1.9856828,1.8153101799999998,2.1447676800000006,3,0
ALERT,31920.0,1.8574734,1.8153101799999998,2.1447676800000006,3,0
ALERT,31950.0,1.8637276,1.8153101799999998,2.1447676800000006,4,0
ALERT,33630.0,1.8460074,1.8153101799999998,2.1447676800000006,3,0
ALERT,33660.0,2.149332,1.8153101799999998,2.1447676800000006,4,1
ALERT,33690.0,2.1847716,1.8153101799999998,2.1447676800000006,5,2
ERROR,33690.0,2.1847716,1.8153101799999998,2.1447676800000006,5,2
ALERT,33720.0,1.9564964,1.8153101799999998,2.1447676800000006,6,0
ALERT,41370.0,2.2316784,1.8153101799999998,2.1447676800000006,3,1
ALERT,41400.0,2.0549996,1.8153101799999998,2.1447676800000006,4,0
ALERT,45510.0,2.2238606,1.8153101799999998,2.1447676800000006,3,2
ERROR,45510.0,2.2238606,1.8153101799999998,2.1447676800000006,3,2
ALERT,47880.0,2.2019714,1.8153101799999998,2.1447676800000006,3,2
ERROR,47880.0,2.2019714,1.8153101799999998,2.1447676800000006,3,2
ALERT,48090.0,1.9481584,1.8153101799999998,2.1447676800000006,3,0
ALERT,48450.0,1.8470496,1.8153101799999998,2.1447676800000006,3,0
ALERT,49710.0,2.1696582,1.8153101799999998,2.1447676800000006,3,2
ERROR,49710.0,2.1696582,1.8153101799999998,2.1447676800000006,3,2
ALERT,49740.0,1.8465286,1.8153101799999998,2.1447676800000006,4,0
ALERT,49770.0,1.8798836,1.8153101799999998,2.1447676800000006,5,0
ALERT,52350.0,2.1925902,1.8153101799999998,2.1447676800000006,3,1
ALERT,52380.0,2.1978020000000003,1.8153101799999998,2.1447676800000006,4,2
ERROR,52380.0,2.1978020000000003,1.8153101799999998,2.1447676800000006,4,2
ALERT,52410.0,1.9059434,1.8153101799999998,2.1447676800000006,5,0
ALERT,52440.0,1.9059434,1.8153101799999998,2.1447676800000006,6,0
ALERT,69570.0,2.2973464,1.8153101799999998,2.1447676800000006,3,2
ERROR,69570.0,2.2973464,1.8153101799999998,2.1447676800000006,3,2
ALERT,69600.0,2.0200808,1.8153101799999998,2.1447676800000006,4,0
ALERT,76440.0,2.145684,1.8153101799999998,2.1447676800000006,3,1
ALERT,78150.0,1.8506982,1.8153101799999998,2.1447676800000006,3,0
ERROR,79380.0,2.2587796,1.8153101799999998,2.1447676800000006,2,2
ALERT,79410.0,2.1686158,1.8153101799999998,2.1447676800000006,3,3
ERROR,79410.0,2.1686158,1.8153101799999998,2.1447676800000006,3,3
ALERT,79440.0,2.2176062,1.8153101799999998,2.1447676800000006,4,4
ERROR,79440.0,2.2176062,1.8153101799999998,2.1447676800000006,4,4
ALERT,79710.0,1.928875,1.8153101799999998,2.1447676800000006,3,0
